tree_id,latitude,longitude
314676,40.77867302,-73.96180351
74630,40.7995061,-73.96768692
330836,40.76111314,-73.9909697
311677,40.77954044,-73.97990048
302840,40.73174165,-74.00803098
330840,40.76126362,-73.99132679
330844,40.76140412,-73.9916602
292036,40.73394705,-74.0096364
330843,40.76137698,-73.99159579
314674,40.77857179,-73.96156316
292035,40.7339765,-74.00945871
292037,40.73393537,-74.00970691
330841,40.76131072,-73.99143856
302839,40.73174801,-74.00810338
307705,40.77946949,-73.96172997
310363,40.76180396,-73.98899832
297409,40.7697021,-73.96445186
296012,40.77924748,-73.95896783
300844,40.76686222,-73.96185665
292034,40.73403112,-74.00912906
330850,40.76165492,-73.99225535
307711,40.77924629,-73.96119917
310362,40.76184412,-73.98909368
302837,40.73176031,-74.00824353
302838,40.73175424,-74.00817435
330845,40.76143127,-73.99172461
296600,40.76865002,-73.96389779
300583,40.76715672,-73.96060705
310941,40.76102334,-73.99058002
300845,40.76690687,-73.96196238
310358,40.76195916,-73.98936682
297410,40.76965496,-73.9643401
292033,40.73404701,-74.00903317
330839,40.76122956,-73.99124596
314678,40.77875549,-73.96199933
296015,40.7790471,-73.9584947
310359,40.76192698,-73.98929041
312467,40.83026678,-73.94212758
310564,40.76216822,-73.99153148
307707,40.77941635,-73.96160359
307709,40.77932999,-73.96139822
330842,40.7613497,-73.99153107
314673,40.77854612,-73.9615022
307710,40.77928881,-73.96130027
310361,40.76187684,-73.98917136
330838,40.76118831,-73.99114809
314679,40.7788055,-73.96211809
307706,40.77944691,-73.96167626
307708,40.77937649,-73.9615088
314677,40.77871186,-73.96189574
292032,40.73406336,-74.00893445
300688,40.77118535,-73.95982431
279271,40.74719183,-73.97748539
304593,40.7495339,-73.97225448
296011,40.77929531,-73.95908075
310314,40.76080794,-73.99045596
310316,40.76075584,-73.99033297
310159,40.75930577,-73.99213746
310337,40.75996502,-73.98853643
304596,40.74927543,-73.97244236
295495,40.82255686,-73.93818476
300685,40.77130575,-73.96010969
304541,40.76525836,-73.9852556
310322,40.76058888,-73.98993879
310325,40.76049137,-73.98970858
310340,40.75988094,-73.98826747
318477,40.85390483,-73.92845505
318478,40.85394616,-73.92842502
310562,40.76228495,-73.99180918
310333,40.76022155,-73.98907159
330853,40.76178531,-73.99256477
330848,40.76157297,-73.99206086
292039,40.73391171,-74.0098497
312468,40.83050617,-73.94269904
301126,40.76692276,-73.96393973
296232,40.7775599,-73.9552423
310318,40.76070242,-73.99020683
310329,40.76033776,-73.98934594
310319,40.76066902,-73.99012799
330847,40.76153837,-73.99197877
304540,40.76498435,-73.9846051
330963,40.75876103,-73.99148913
293556,40.73381198,-74.00554312
310360,40.76189187,-73.98920704
296013,40.77919271,-73.95883851
295493,40.82271671,-73.93806804
314842,40.72530386,-73.99019608
301123,40.76705014,-73.96424105
301125,40.76696678,-73.96404385
317838,40.85334199,-73.92793526
295671,40.76200046,-73.9726888
282299,40.78798682,-73.97800082
310338,40.75994105,-73.98840937
310342,40.75982858,-73.98814386
330861,40.76209452,-73.99329854
310339,40.75991433,-73.98834631
296014,40.77909893,-73.95861708
330968,40.75891516,-73.99185552
297408,40.76972686,-73.96451058
330957,40.75838979,-73.99060665
304594,40.74944862,-73.97231647
310335,40.76016813,-73.98894545
330852,40.76174952,-73.99247984
310364,40.76176964,-73.98891685
297411,40.76963019,-73.96428138
301124,40.76700946,-73.96414481
318476,40.85380342,-73.92852875
330858,40.76197903,-73.99302448
314640,40.80457325,-73.94989499
310324,40.76051675,-73.9897685
310341,40.75985422,-73.9882044
310312,40.7608627,-73.99058525
330857,40.76193819,-73.99292755
330859,40.76201948,-73.99312046
310323,40.76055549,-73.98985995
310321,40.76061559,-73.99000186
310326,40.76042459,-73.98955091
310328,40.76036448,-73.98940901
310327,40.76039119,-73.98947208
310334,40.76019484,-73.98900852
295494,40.82266151,-73.93810835
310386,40.76028586,-73.99142824
330931,40.75641595,-73.9942401
76072,40.8050702,-73.96695709
304607,40.85972552,-73.92801395
310313,40.76083465,-73.99051903
310315,40.76078256,-73.99039604
310330,40.76029769,-73.98925134
330856,40.76189801,-73.9928322
310336,40.76013473,-73.98886662
310332,40.76024293,-73.98912204
331006,40.75821362,-73.99293707
304834,40.74907354,-73.9723916
332072,40.75926596,-73.99072791
330958,40.7584262,-73.99069319
310320,40.76064231,-73.99006493
74631,40.79945353,-73.96756173
311652,40.78675163,-73.97953676
304835,40.74889953,-73.9719758
